observation_date,FEDFUNDS,% Change
2000-01-01,5.45,0
2000-02-01,5.73,5.14
2000-03-01,5.85,2.09
2000-04-01,6.02,2.91
2000-05-01,6.27,4.15
2000-06-01,6.53,4.15
2000-07-01,6.54,0.15
2000-08-01,6.50,-0.61
2000-09-01,6.52,0.31
2000-10-01,6.51,-0.15
2000-11-01,6.51,0.00
2000-12-01,6.40,-1.69
2001-01-01,5.98,-6.56
2001-02-01,5.49,-8.19
2001-03-01,5.31,-3.28
2001-04-01,4.80,-9.60
2001-05-01,4.21,-12.29
2001-06-01,3.97,-5.70
2001-07-01,3.77,-5.04
2001-08-01,3.65,-3.18
2001-09-01,3.07,-15.89
2001-10-01,2.49,-18.89
2001-11-01,2.09,-16.06
2001-12-01,1.82,-12.92
2002-01-01,1.73,-4.95
2002-02-01,1.74,0.58
2002-03-01,1.73,-0.57
2002-04-01,1.75,1.16
2002-05-01,1.75,0.00
2002-06-01,1.75,0.00
2002-07-01,1.73,-1.14
2002-08-01,1.74,0.58
2002-09-01,1.75,0.57
2002-10-01,1.75,0.00
2002-11-01,1.34,-23.43
2002-12-01,1.24,-7.46
2003-01-01,1.24,0.00
2003-02-01,1.26,1.61
2003-03-01,1.25,-0.79
2003-04-01,1.26,0.80
2003-05-01,1.26,0.00
2003-06-01,1.22,-3.17
2003-07-01,1.01,-17.21
2003-08-01,1.03,1.98
2003-09-01,1.01,-1.94
2003-10-01,1.01,0.00
2003-11-01,1.00,-0.99
2003-12-01,0.98,-2.00
2004-01-01,1.00,2.04
2004-02-01,1.01,1.00
2004-03-01,1.00,-0.99
2004-04-01,1.00,0.00
2004-05-01,1.00,0.00
2004-06-01,1.03,3.00
2004-07-01,1.26,22.33
2004-08-01,1.43,13.49
2004-09-01,1.61,12.59
2004-10-01,1.76,9.32
2004-11-01,1.93,9.66
2004-12-01,2.16,11.92
2005-01-01,2.28,5.56
2005-02-01,2.50,9.65
2005-03-01,2.63,5.20
2005-04-01,2.79,6.08
2005-05-01,3.00,7.53
2005-06-01,3.04,1.33
2005-07-01,3.26,7.24
2005-08-01,3.50,7.36
2005-09-01,3.62,3.43
2005-10-01,3.78,4.42
2005-11-01,4.00,5.82
2005-12-01,4.16,4.00
2006-01-01,4.29,3.13
2006-02-01,4.49,4.66
2006-03-01,4.59,2.23
2006-04-01,4.79,4.36
2006-05-01,4.94,3.13
2006-06-01,4.99,1.01
2006-07-01,5.24,5.01
2006-08-01,5.25,0.19
2006-09-01,5.25,0.00
2006-10-01,5.25,0.00
2006-11-01,5.25,0.00
2006-12-01,5.24,-0.19
2007-01-01,5.25,0.19
2007-02-01,5.26,0.19
2007-03-01,5.26,0.00
2007-04-01,5.25,-0.19
2007-05-01,5.25,0.00
2007-06-01,5.25,0.00
2007-07-01,5.26,0.19
2007-08-01,5.02,-4.56
2007-09-01,4.94,-1.59
2007-10-01,4.76,-3.64
2007-11-01,4.49,-5.67
2007-12-01,4.24,-5.57
2008-01-01,3.94,-7.08
2008-02-01,2.98,-24.37
2008-03-01,2.61,-12.42
2008-04-01,2.28,-12.64
2008-05-01,1.98,-13.16
2008-06-01,2.00,1.01
2008-07-01,2.01,0.50
2008-08-01,2.00,-0.50
2008-09-01,1.81,-9.50
2008-10-01,0.97,-46.41
2008-11-01,0.39,-59.79
2008-12-01,0.16,-58.97
2009-01-01,0.15,-6.25
2009-02-01,0.22,46.67
2009-03-01,0.18,-18.18
2009-04-01,0.15,-16.67
2009-05-01,0.18,20.00
2009-06-01,0.21,16.67
2009-07-01,0.16,-23.81
2009-08-01,0.16,0.00
2009-09-01,0.15,-6.25
2009-10-01,0.12,-20.00
2009-11-01,0.12,0.00
2009-12-01,0.12,0.00
2010-01-01,0.11,-8.33
2010-02-01,0.13,18.18
2010-03-01,0.16,23.08
2010-04-01,0.20,25.00
2010-05-01,0.20,0.00
2010-06-01,0.18,-10.00
2010-07-01,0.18,0.00
2010-08-01,0.19,5.56
2010-09-01,0.19,0.00
2010-10-01,0.19,0.00
2010-11-01,0.19,0.00
2010-12-01,0.18,-5.26
2011-01-01,0.17,-5.56
2011-02-01,0.16,-5.88
2011-03-01,0.14,-12.50
2011-04-01,0.10,-28.57
2011-05-01,0.09,-10.00
2011-06-01,0.09,0.00
2011-07-01,0.07,-22.22
2011-08-01,0.10,42.86
2011-09-01,0.08,-20.00
2011-10-01,0.07,-12.50
2011-11-01,0.08,14.29
2011-12-01,0.07,-12.50
2012-01-01,0.08,14.29
2012-02-01,0.10,25.00
2012-03-01,0.13,30.00
2012-04-01,0.14,7.69
2012-05-01,0.16,14.29
2012-06-01,0.16,0.00
2012-07-01,0.16,0.00
2012-08-01,0.13,-18.75
2012-09-01,0.14,7.69
2012-10-01,0.16,14.29
2012-11-01,0.16,0.00
2012-12-01,0.16,0.00
2013-01-01,0.14,-12.50
2013-02-01,0.15,7.14
2013-03-01,0.14,-6.67
2013-04-01,0.15,7.14
2013-05-01,0.11,-26.67
2013-06-01,0.09,-18.18
2013-07-01,0.09,0.00
2013-08-01,0.08,-11.11
2013-09-01,0.08,0.00
2013-10-01,0.09,12.50
2013-11-01,0.08,-11.11
2013-12-01,0.09,12.50
2014-01-01,0.07,-22.22
2014-02-01,0.07,0.00
2014-03-01,0.08,14.29
2014-04-01,0.09,12.50
2014-05-01,0.09,0.00
2014-06-01,0.10,11.11
2014-07-01,0.09,-10.00
2014-08-01,0.09,0.00
2014-09-01,0.09,0.00
2014-10-01,0.09,0.00
2014-11-01,0.09,0.00
2014-12-01,0.12,33.33
2015-01-01,0.11,-8.33
2015-02-01,0.11,0.00
2015-03-01,0.11,0.00
2015-04-01,0.12,9.09
2015-05-01,0.12,0.00
2015-06-01,0.13,8.33
2015-07-01,0.13,0.00
2015-08-01,0.14,7.69
2015-09-01,0.14,0.00
2015-10-01,0.12,-14.29
2015-11-01,0.12,0.00
2015-12-01,0.24,100.00
2016-01-01,0.34,41.67
2016-02-01,0.38,11.76
2016-03-01,0.36,-5.26
2016-04-01,0.37,2.78
2016-05-01,0.37,0.00
2016-06-01,0.38,2.70
2016-07-01,0.39,2.63
2016-08-01,0.40,2.56
2016-09-01,0.40,0.00
2016-10-01,0.40,0.00
2016-11-01,0.41,2.50
2016-12-01,0.54,31.71
2017-01-01,0.65,20.37
2017-02-01,0.66,1.54
2017-03-01,0.79,19.70
2017-04-01,0.90,13.92
2017-05-01,0.91,1.11
2017-06-01,1.04,14.29
2017-07-01,1.15,10.58
2017-08-01,1.16,0.87
2017-09-01,1.15,-0.86
2017-10-01,1.15,0.00
2017-11-01,1.16,0.87
2017-12-01,1.30,12.07
2018-01-01,1.41,8.46
2018-02-01,1.42,0.71
2018-03-01,1.51,6.34
2018-04-01,1.69,11.92
2018-05-01,1.70,0.59
2018-06-01,1.82,7.06
2018-07-01,1.91,4.95
2018-08-01,1.91,0.00
2018-09-01,1.95,2.09
2018-10-01,2.19,12.31
2018-11-01,2.20,0.46
2018-12-01,2.27,3.18
2019-01-01,2.40,5.73
2019-02-01,2.40,0.00
2019-03-01,2.41,0.42
2019-04-01,2.42,0.41
2019-05-01,2.39,-1.24
2019-06-01,2.38,-0.42
2019-07-01,2.40,0.84
2019-08-01,2.13,-11.25
2019-09-01,2.04,-4.23
2019-10-01,1.83,-10.29
2019-11-01,1.55,-15.30
2019-12-01,1.55,0.00
